rank,track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,baseline_accuracy,baseline_f1,delta_vs_baseline_accuracy,delta_vs_baseline_f1
575,binary,standard,svd,filter_chi2,lda_classifier,0.8072172976598223,0.9790849673202615,0.036953509826015,0.07115718325648714,0.41305538616370496,0.012784930673660632,0.0005078473283598,0.8245217667200473,0.23028046643744593,-0.01730446906022498,-0.1591232831809588
576,binary,standard,svd,wrapper_rfe,lda_classifier,0.807130378940665,0.9784722222222223,0.03651948352572327,0.07037646276169196,0.41332088978078535,0.019320777995744665,0.0005123333345787667,0.8245217667200473,0.23028046643744593,-0.017391387779382317,-0.15990400367575397
577,binary,robust,svd,wrapper_rfe,lda_classifier,0.8071303562583271,0.9791463017269469,0.03651834881644143,0.07034184445886286,0.41490853816355067,0.011036389002886867,0.0006065833343503,0.8245217667200473,0.23028046643744593,-0.017391410461720214,-0.15993862197858305
578,binary,robust,svd,embedded_l1,lda_classifier,0.8070434829038455,0.9699872286079184,0.0365183488164414,0.0702905876975236,0.4120080218782108,0.03654612499910093,0.0024602363312926996,0.8245217667200473,0.23028046643744593,-0.017478283816201756,-0.15998987873992232
579,binary,robust,none,filter_chi2,lda_classifier,0.8070432107157898,0.9844961240310077,0.0360820530975861,0.06929001977153407,0.4090254418762147,0.0121808753368289,0.0006861109868622667,0.8245217667200473,0.23028046643744593,-0.017478556004257517,-0.16099044666591186
580,binary,minmax,svd,none,lda_classifier,0.8067825906523454,0.9777530589543938,0.03477997419671087,0.0671257640568528,0.4122892630392812,0.025812833666956636,0.0007131803334534999,0.8245217667200473,0.23028046643744593,-0.017739176067701923,-0.16315470238059313
581,binary,robust,pca,embedded_l1,logistic_regression,0.8067825679700075,0.9680555555555556,0.035214567851643536,0.06790144305160921,0.5264226808517115,0.0185045833253146,0.0006922356551512667,0.821739120178421,0.2034644163515437,-0.01495655220841352,-0.1355629732999345
582,binary,robust,pca,wrapper_rfe,logistic_regression,0.8067825679700075,0.9680555555555556,0.035214567851643536,0.06790144305160921,0.5264226808517115,0.021212402663271197,0.0003874166577588333,0.821739120178421,0.2034644163515437,-0.01495655220841352,-0.1355629732999345
583,binary,minmax,svd,filter_anova,lda_classifier,0.8067824999229934,0.9779942279942281,0.03477940684206996,0.06709724852756664,0.41169209274532986,0.013253110994507199,0.0007847083325031667,0.8245217667200473,0.23028046643744593,-0.017739266797053843,-0.16318321790987927
584,binary,minmax,svd,filter_chi2,lda_classifier,0.8067824999229934,0.9779942279942281,0.03477940684206996,0.06709724852756664,0.41169209274532986,0.014154277994142166,0.0005159166757948,0.8245217667200473,0.23028046643744593,-0.017739266797053843,-0.16318321790987927
585,binary,minmax,svd,filter_correlation,lda_classifier,0.8067824999229934,0.9779942279942281,0.03477940684206996,0.06709724852756664,0.41169209274532986,0.011362777984080167,0.00044074967930400003,0.8245217667200473,0.23028046643744593,-0.017739266797053843,-0.16318321790987927
586,binary,robust,svd,filter_chi2,lda_classifier,0.8067824091936416,0.9680024852438646,0.0352122984330799,0.06776993404426944,0.410283042336125,0.010950902341088866,0.0005545696573486667,0.8245217667200473,0.23028046643744593,-0.017739357526405652,-0.16251053239317648
587,binary,robust,pca,filter_chi2,logistic_regression,0.806695626568512,0.9885057471264368,0.03390624804971837,0.06530431852934775,0.5211305180323583,0.06048500001391704,0.0002962079985687667,0.821739120178421,0.2034644163515437,-0.015043493609908976,-0.13816009782219596
588,binary,minmax,svd,wrapper_rfe,lda_classifier,0.8065216757185073,0.9769841269841271,0.03347562587727206,0.06468821465052772,0.4125555565061069,0.013039805664448,0.000584416333974,0.8245217667200473,0.23028046643744593,-0.018000091001539986,-0.16559225178691822
589,binary,standard,pca,filter_chi2,logistic_regression,0.8065216757185073,0.9787878787878789,0.03347278910406756,0.06456453816047174,0.5239194468557767,0.12518229132789804,0.0002393613394815,0.821739120178421,0.2034644163515437,-0.015217444459913687,-0.13889987819107197
590,binary,robust,none,ga_selection,lda_classifier,0.8065216076714933,1.0,0.032607573276688596,0.06309845854333966,0.4227884914105189,0.023738166666589632,0.0011764166605037667,0.8245217667200473,0.23028046643744593,-0.01800015904855401,-0.16718200789410625
591,binary,standard,svd,embedded_l1,lda_classifier,0.8064347569993499,0.9880952380952381,0.03260473650348406,0.0630417347687636,0.41313630852034616,0.019874236342729966,0.0004018196680893333,0.8245217667200473,0.23028046643744593,-0.018087009720697433,-0.16723873166868233
592,binary,standard,pca,embedded_l1,logistic_regression,0.8063478155978544,0.9775533108866442,0.03260416914884317,0.06297130565233287,0.5251547023367493,0.0469393613457214,0.0005559023314465334,0.821739120178421,0.2034644163515437,-0.01539130458056659,-0.14049311069921083
593,binary,standard,pca,wrapper_rfe,logistic_regression,0.8063478155978544,0.9775533108866442,0.03260416914884317,0.06297130565233287,0.5251547023367493,0.012425944325514101,0.00040173634382269994,0.821739120178421,0.2034644163515437,-0.01539130458056659,-0.14049311069921083
594,binary,standard,pca,filter_anova,logistic_regression,0.8063477702331786,0.9694581280788178,0.033037628094494,0.06368610502218017,0.5224735757743871,0.013809750002110334,0.0005673890118486666,0.821739120178421,0.2034644163515437,-0.015391349945242383,-0.13977831132936352
