track,fold,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,error_rate,roc_auc,fit_time_sec,predict_time_sec,status,skip_reason
binary,3,quantile,svd,wrapper_sfs,logistic_regression,0.7998956430994,0.0,0.0,0.0,0.20010435690060002,0.5236802513329097,0.039594875008333474,0.00024666698300279677,ok,
binary,3,quantile,svd,wrapper_sfs,lda_classifier,0.7998956430994,0.0,0.0,0.0,0.20010435690060002,0.523664092273333,0.027597665990469977,0.000152749998960644,ok,
binary,3,quantile,svd,wrapper_sfs,mlp_ann,0.9102530654839551,0.821917808219178,0.7040417209908736,0.7584269662921348,0.08974693451604487,0.9209554086498597,3.24034879199462,0.000628041016170755,ok,
binary,3,quantile,svd,wrapper_rfe,knn,0.8687711974954344,0.9782608695652174,0.3520208604954368,0.5177372962607862,0.1312288025045656,0.856651281540996,0.003704375005327165,0.07657687499886379,ok,
binary,3,quantile,svd,wrapper_rfe,svm,0.9543438559874772,0.9289855072463769,0.8357235984354628,0.8798901853122855,0.045656144012522826,0.9832030828083765,1.2899219169921707,0.21384879198740236,ok,
binary,3,quantile,svd,wrapper_rfe,decision_tree,0.9032089746934516,0.8333333333333334,0.6453715775749674,0.7274063188831741,0.09679102530654837,0.7979135252179135,0.16186875000130385,0.0003217920020688325,ok,
binary,3,quantile,svd,wrapper_rfe,logistic_regression,0.8012001043569006,1.0,0.00651890482398957,0.012953367875647668,0.1987998956430994,0.5286011102124406,0.019057500001508743,0.0004259999841451645,ok,
binary,3,quantile,svd,wrapper_rfe,lda_classifier,0.8012001043569006,1.0,0.00651890482398957,0.012953367875647668,0.1987998956430994,0.5287359107883836,0.029272457992192358,0.0004096670018043369,ok,
binary,3,quantile,svd,wrapper_rfe,mlp_ann,0.9337333681189669,0.849931787175989,0.8122555410691004,0.8306666666666667,0.0662666318810331,0.9625173603580847,1.8765823330031708,0.000597958016442135,ok,
binary,3,quantile,svd,embedded_l1,knn,0.8781633185494391,0.9838709677419355,0.39765319426336376,0.5663881151346333,0.12183668145056092,0.8703743628865523,0.00473562499973923,0.1080717500008177,ok,
binary,3,quantile,svd,embedded_l1,svm,0.9397338899034698,0.8976261127596439,0.788787483702738,0.8396946564885496,0.06026611009653016,0.9747440277391519,1.3104512499994598,0.19874749999144115,ok,
binary,3,quantile,svd,embedded_l1,decision_tree,0.8987738064179494,0.8121911037891268,0.6427640156453716,0.7176128093158661,0.10122619358205065,0.7802393411866361,0.15372970799217,0.0002401249948889017,ok,
binary,3,quantile,svd,embedded_l1,logistic_regression,0.8014609966084008,1.0,0.007822685788787484,0.015523932729624839,0.19853900339159924,0.5325324393121004,0.013685790996532887,0.0003154170117340982,ok,
binary,3,quantile,svd,embedded_l1,lda_classifier,0.8017218888599008,1.0,0.009126466753585397,0.01808785529715762,0.1982781111400992,0.5324648264049239,0.024068083992460743,0.000317458005156368,ok,
binary,3,quantile,svd,embedded_l1,mlp_ann,0.9225150013044613,0.8236914600550964,0.7796610169491526,0.8010716677829873,0.07748499869553871,0.9522257403613336,2.939612042013323,0.0007923329831101,ok,
binary,3,quantile,svd,ga_selection,knn,0.9019045134359509,0.9047619047619048,0.5697522816166884,0.6992,0.0980954865640491,0.8895066894254264,0.0037489169917535037,0.03812741601723246,ok,
binary,3,quantile,svd,ga_selection,svm,0.9201669710409601,0.9198542805100182,0.6584093872229465,0.7674772036474165,0.07983302895903988,0.9100556977269305,1.3674446670047473,0.22871991698048078,ok,
binary,3,quantile,svd,ga_selection,decision_tree,0.9006000521784503,0.8293515358361775,0.6336375488917861,0.7184035476718403,0.0993999478215497,0.80902372915375,0.05274716697749682,0.0008359170169569552,ok,
binary,3,quantile,svd,ga_selection,logistic_regression,0.7998956430994,0.0,0.0,0.0,0.20010435690060002,0.5098442691895211,0.01731937500881031,0.00021545900381170213,ok,
binary,3,quantile,svd,ga_selection,lda_classifier,0.7998956430994,0.0,0.0,0.0,0.20010435690060002,0.5097630486532274,0.009209625015500933,8.891598554328084e-05,ok,
binary,3,quantile,svd,ga_selection,mlp_ann,0.9186016175319593,0.8516228748068007,0.7183833116036505,0.7793493635077794,0.08139838246804065,0.9324155837970558,2.2388226669863798,0.0006010410143062472,ok,
multiclass,1,standard,none,none,knn,0.44835680751173707,0.5508065122165717,0.44826100129016444,0.438456204644406,0.551643192488263,,0.0024819590034894645,0.17660183299449272,ok,
multiclass,1,standard,none,none,svm,0.5479916536254564,0.5960817582326652,0.5480744550842351,0.5293224731655178,0.45200834637454357,,16.258828624995658,2.0151431660051458,ok,
multiclass,1,standard,none,none,decision_tree,0.3933229003651539,0.4260573627408709,0.39345624504273885,0.3380409979265369,0.6066770996348461,,1.0495320839982014,0.0008404160034842789,ok,
multiclass,1,standard,none,none,logistic_regression,0.261867501304121,0.26800848757410267,0.2618638961604842,0.2615032512067162,0.738132498695879,,0.8379638330079615,0.0007798750011716038,ok,
multiclass,1,standard,none,none,lda_classifier,0.260302556077204,0.27307502418602747,0.26030003982829575,0.26213237573741777,0.739697443922796,,0.16602866700850427,0.0034473749983590096,ok,
multiclass,1,standard,none,none,mlp_ann,0.6763171622326551,0.6783970704862619,0.6763035256552095,0.6770999174885363,0.32368283776734486,,4.975542750005843,0.004220624978188425,ok,
multiclass,1,standard,none,filter_chi2,knn,0.44992175273865415,0.5078756728132697,0.44985992013916076,0.4514422233576208,0.5500782472613459,,0.0026104580028913915,0.06635850001475774,ok,
multiclass,1,standard,none,filter_chi2,svm,0.47235263432446534,0.5020254361322192,0.47243881931229803,0.44647097085392173,0.5276473656755347,,6.07757362499251,1.0670412500039674,ok,
multiclass,1,standard,none,filter_chi2,decision_tree,0.39697443922796033,0.4152129656757843,0.39707721583191774,0.36305046640887073,0.6030255607720396,,0.09160824998980388,0.0004645000153686851,ok,
multiclass,1,standard,none,filter_chi2,logistic_regression,0.2543035993740219,0.2460266609815503,0.2543077535819935,0.23995569362315136,0.7456964006259781,,0.8134252919990104,0.0002438749943394214,ok,
multiclass,1,standard,none,filter_chi2,lda_classifier,0.25952008346374544,0.2575534086756128,0.2595174308366325,0.24692855687410703,0.7404799165362546,,0.016868916020030156,0.0006350420007947832,ok,
multiclass,1,standard,none,filter_chi2,mlp_ann,0.40688575899843504,0.45292347471480837,0.406979142908691,0.35339180683585014,0.593114241001565,,0.6960259999905247,0.001259665994439274,ok,
multiclass,1,standard,none,filter_anova,knn,0.44992175273865415,0.5078756728132697,0.44985992013916076,0.4514422233576208,0.5500782472613459,,0.003715375001775101,0.0630792079900857,ok,
multiclass,1,standard,none,filter_anova,svm,0.47235263432446534,0.5020254361322192,0.47243881931229803,0.44647097085392173,0.5276473656755347,,6.546624292008346,1.0652825830038637,ok,
multiclass,1,standard,none,filter_anova,decision_tree,0.3967136150234742,0.41557471924583106,0.3968164596389582,0.3631832348042865,0.6032863849765258,,0.08686375000979751,0.0004093750030733645,ok,
multiclass,1,standard,none,filter_anova,logistic_regression,0.25508607198748046,0.2493058184644182,0.2550852563818887,0.23940720397536705,0.7449139280125195,,0.07416708400705829,0.0002785830001812428,ok,
multiclass,1,standard,none,filter_anova,lda_classifier,0.25952008346374544,0.2575534086756128,0.2595174308366325,0.24692855687410703,0.7404799165362546,,0.014186166983563453,0.0007486669928766787,ok,
multiclass,1,standard,none,filter_anova,mlp_ann,0.5787689097548252,0.5818625955098076,0.5787483702737941,0.5797588901507164,0.4212310902451748,,3.8353724999760743,0.0015032910159789026,ok,
multiclass,1,standard,none,filter_correlation,knn,0.45200834637454357,0.5039900489103082,0.4519452888572683,0.45439400474791675,0.5479916536254564,,0.004822207993129268,0.06555416699848138,ok,
multiclass,1,standard,none,filter_correlation,svm,0.47078768909754826,0.4915681548960939,0.4708718992650488,0.44299818626297754,0.5292123109024518,,6.456041416997323,1.0675577909860294,ok,
multiclass,1,standard,none,filter_correlation,decision_tree,0.40714658320292124,0.41534763708550165,0.4072484094212642,0.36620336570784506,0.5928534167970787,,0.09212408302119002,0.000509958976181224,ok,
multiclass,1,standard,none,filter_correlation,logistic_regression,0.25143453312467395,0.24730526040205136,0.25143398885488544,0.23083159885528026,0.7485654668753261,,0.093538165994687,0.0009701250237412751,ok,
multiclass,1,standard,none,filter_correlation,lda_classifier,0.2556077203964528,0.2538505015604239,0.25560608794223877,0.238087898800336,0.7443922796035471,,0.014713832992129028,0.0007076670008245856,ok,
multiclass,1,standard,none,filter_correlation,mlp_ann,0.5837245696400626,0.5818627762320961,0.583715333213054,0.582020156704884,0.4162754303599374,,3.76035649998812,0.0011081249976996332,ok,
multiclass,1,standard,none,wrapper_sfs,knn,0.4337506520605112,0.4708932774368339,0.4337046102103411,0.4406825519642966,0.5662493479394888,,0.008271458005765453,0.06654333299957216,ok,
multiclass,1,standard,none,wrapper_sfs,svm,0.4494001043296818,0.45725397668580187,0.449493635982993,0.41618788482308594,0.5505998956703182,,5.585085041995626,0.9353640409826767,ok,
multiclass,1,standard,none,wrapper_sfs,decision_tree,0.39723526343244653,0.4003051716528606,0.39731380271717487,0.36427358718049885,0.6027647365675535,,0.057429457985563204,0.0012981250183656812,ok,
multiclass,1,standard,none,wrapper_sfs,logistic_regression,0.23708920187793428,0.22722872245972373,0.2371107805324737,0.22588608061528456,0.7629107981220657,,0.06798966700443998,0.0002594580000732094,ok,
multiclass,1,standard,none,wrapper_sfs,lda_classifier,0.23761085028690662,0.2275989441441614,0.23763161209282377,0.22608260993256182,0.7623891497130934,,0.037781541992444545,0.000885750021552667,ok,
multiclass,1,standard,none,wrapper_sfs,mlp_ann,0.5263432446531038,0.5322627065525593,0.5263173123729834,0.5288774427268353,0.4736567553468962,,3.8064371250220574,0.002356416982365772,ok,
multiclass,1,standard,none,wrapper_rfe,knn,0.4650495565988524,0.5207757566590552,0.4649813964413248,0.4689611657648082,0.5349504434011476,,0.010223124991171062,0.07998958299867809,ok,
multiclass,1,standard,none,wrapper_rfe,svm,0.47861241523213355,0.5222680923718602,0.4787027549606653,0.4555600375870834,0.5213875847678664,,6.401417542016134,1.0670553749951068,ok,
multiclass,1,standard,none,wrapper_rfe,decision_tree,0.4016692749087115,0.44141652187410435,0.4017810396887266,0.3635062312508934,0.5983307250912885,,0.10707020899280906,0.0016839579911902547,ok,
multiclass,1,standard,none,wrapper_rfe,logistic_regression,0.24100156494522693,0.23955334081221819,0.24100408154928665,0.23101244964029305,0.758998435054773,,0.1378976669802796,0.00028145802207291126,ok,
multiclass,1,standard,none,wrapper_rfe,lda_classifier,0.23839332290036516,0.23696642652948427,0.23839311549184541,0.23020709374296638,0.7616066770996348,,0.048076125007355586,0.000791957980254665,ok,
multiclass,1,standard,none,wrapper_rfe,mlp_ann,0.5899843505477308,0.5918275494816652,0.5899663331756088,0.5899226022211117,0.4100156494522692,,3.811987916997168,0.0013040830090176314,ok,
multiclass,1,standard,none,embedded_l1,knn,0.45122587376108503,0.5495052999610763,0.45113306395334984,0.444103181686078,0.548774126238915,,0.015889417001744732,0.13209458300843835,ok,
multiclass,1,standard,none,embedded_l1,svm,0.5438184663536776,0.5911216162545021,0.5439050792991582,0.5242186959071592,0.4561815336463224,,11.359006415994372,1.7078565840201918,ok,
multiclass,1,standard,none,embedded_l1,decision_tree,0.4209702660406886,0.45085983899664506,0.42106133897964676,0.39404526688382785,0.5790297339593113,,0.4317727500165347,0.0005524159932974726,ok,
multiclass,1,standard,none,embedded_l1,logistic_regression,0.2537819509650496,0.25589320733761317,0.25377977335316804,0.25057563247312553,0.7462180490349504,,0.25957537500653416,0.0003547079977579415,ok,
multiclass,1,standard,none,embedded_l1,lda_classifier,0.26291079812206575,0.2709570956497412,0.2629086229962453,0.2616056019161275,0.7370892018779343,,0.11142120801378042,0.0011185419862158597,ok,
multiclass,1,standard,none,embedded_l1,mlp_ann,0.6637976004173187,0.6642439245371543,0.6637882496315032,0.6639353542911344,0.3362023995826813,,4.613540332997218,0.0014335000014398247,ok,
multiclass,1,standard,none,ga_selection,knn,0.47235263432446534,0.5504075538582741,0.47228120819305497,0.4768437563828389,0.5276473656755347,,0.003390124998986721,0.06500612501986325,ok,
multiclass,1,standard,none,ga_selection,svm,0.5219092331768388,0.568242843150886,0.5219937295965087,0.4977150019453248,0.4780907668231612,,6.562886833999073,1.0594728330033831,ok,
multiclass,1,standard,none,ga_selection,decision_tree,0.41001564945226915,0.43908382397699974,0.41012421662507953,0.37792243942332265,0.5899843505477309,,0.1121466250042431,0.00040225000702776015,ok,
multiclass,1,standard,none,ga_selection,logistic_regression,0.24700052164840897,0.23280929187006133,0.2470079418302634,0.22481679541134342,0.752999478351591,,0.03057012500357814,0.0002647920046001673,ok,
multiclass,1,standard,none,ga_selection,lda_classifier,0.2519561815336463,0.2384929536966785,0.25196605403712546,0.23084135742641218,0.7480438184663537,,0.017853874975116923,0.0005413340113591403,ok,
multiclass,1,standard,none,ga_selection,mlp_ann,0.6338028169014085,0.6360180241472024,0.6338012874411512,0.6340348140202252,0.3661971830985915,,3.8096615410177037,0.0011063340061809868,ok,
multiclass,1,standard,pca,none,knn,0.48043818466353677,0.5782752925381748,0.4803605652213874,0.4831911280002661,0.5195618153364632,,0.0023641250154469162,0.06755416700616479,ok,
multiclass,1,standard,pca,none,svm,0.5537297861241524,0.6030250803497872,0.5538134742188378,0.5347695284533044,0.44627021387584764,,7.455789708008524,1.1312887919775676,ok,
multiclass,1,standard,pca,none,decision_tree,0.4919144496609285,0.4923858041515586,0.4918879633443513,0.46690258988357547,0.5080855503390715,,0.30137537501286715,0.0004981250094715506,ok,
multiclass,1,standard,pca,none,logistic_regression,0.27021387584767864,0.2694503860046441,0.2702227320849262,0.26096603017316505,0.7297861241523214,,0.03367424997850321,0.000346042012097314,ok,
multiclass,1,standard,pca,none,lda_classifier,0.27073552425665104,0.27144237611033795,0.2707473081859062,0.26149842012679264,0.729264475743349,,0.021107207983732224,0.0005782500084023923,ok,
